SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
25897.*A,AIRPORT,PHF,9/20/12,AEA,DCA,VA,VIRGINIA,NEWPORT NEWS,VA,NEWPORT NEWS,NEWPORT NEWS/WILLIAMSBURG INTL,PU,PU,PENINSULA ARPT CMSN,"900 BLAND BLVD, SUITE G","NEWPORT NEWS, VA 23602",    757-877-0221,KEN SPIRITO,"900 BLAND BLVD, SUITE G","NEWPORT NEWS, VA 23602",    757-877-0221,37-07-54.8000N,133674.8000N,076-29-34.7000W,275374.7000W,E,42,S,09W,1985,,WASHINGTON,9,NW,1800,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,PHF,Y,11/1/48,O,I B S 05/1973,NGPSY,NOT ANALYZED,N,Y,N,Y,F,F,5102012,,100LLA,MAJOR,MAJOR,LOW,NONE,SEE RMK,SS-SR,Y,122.95,118.7,N,CG,Y,,67,10,18,0,,,,19442,,,35507,30804,35572,4/30/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25905.1*A,AIRPORT,PVG,9/20/12,AEA,DCA,VA,VIRGINIA,CHESAPEAKE,VA,NORFOLK,HAMPTON ROADS EXECUTIVE,PR,PU,"VIRGINIA AVIATION ASSOCIATES, L.L.C","5172 W. MILITARY HWY, SUITE A","CHESAPEAKE, VA 23321",    757-465-0260,ANDY GIBBS,5172 W. MILITARY HWY,"CHESAPEAKE, VA 23321",    757-465-0260,36-46-48.5000N,132408.5000N,076-26-55.8000W,275215.8000W,E,23,S,10W,2000,,WASHINGTON,7,SW,511,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,DCA,Y,,O,,NGY,NOT ANALYZED,N,N,N,N,S,S,9302009,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.975,122.975,N,CG,N,,161,22,1,23,,,1,,,1448,15894,45153,217,9/30/09,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AVNCS,INSTR,RNTL,SALES,SURV",Y-L
25905.*A,AIRPORT,ORF,9/20/12,AEA,DCA,VA,VIRGINIA,NORFOLK,VA,NORFOLK,NORFOLK INTL,PU,PU,NORFOLK AIRPORT AUTH,2200 NORVIEW AVE,"NORFOLK, VA 23518-5807",    757-857-3351,"WAYNE SHANK, EXEC DIR",2200 NORVIEW AVE,"NORFOLK, VA 23518-5807",    757-857-3344,36-53-40.6000N,132820.6000N,076-12-04.4000W,274324.4000W,E,27,S,09W,1985,,WASHINGTON,3,NE,1300,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,ORF,Y,3/1/38,O,I C S 05/1973,NGHRY3,NOT ANALYZED,N,Y,Y,Y,F,F,7252012,,100LLA,MAJOR,MAJOR,LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,51,27,15,2,,,,31836,,33516,15325,10000,1229,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25936.*A,AIRPORT,PTB,9/20/12,AEA,DCA,VA,VIRGINIA,DINWIDDIE,VA,PETERSBURG,DINWIDDIE COUNTY,PU,PU,DINWIDDIE ARPT AND INDUSTRIAL AUTH.,6775 BECK-CHAPPELL DRIVE,"PETERSBURG, VA 23803",    804-861-0218,DAVID C. HAHN,6775 BECK-CHAPPELL DRIVE,"PETERSBURG, VA 23803",    804-861-0218,37-11-01.5000N,133861.5000N,077-30-26.6000W,279026.6000W,E,193,S,08W,1985,800,WASHINGTON,5,SW,724,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,PTB,Y,4/1/76,O,,NGY3,NOT ANALYZED,N,N,N,Y,S,S,3182010,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,122.7,122.7,N,CG,N,,43,13,0,2,,,3,,,2895,5890,21700,14000,2/28/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
25974.*A,AIRPORT,FCI,9/20/12,AEA,DCA,VA,VIRGINIA,CHESTERFIELD,VA,RICHMOND,CHESTERFIELD COUNTY,PU,PU,CHESTERFIELD CO,PO BOX 40,"CHESTERFIELD, VA 23832-0040",    804-748-1215,TOM TRUDEAU,7511 AIRFIELD DRIVE,"RICHMOND, VA 23237-2252",    804-743-0771,37-24-23.2000N,134663.2000N,077-31-29.4000W,279089.4000W,E,236,S,10W,2005,,WASHINGTON,4,SW,593,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,DCA,Y,6/1/73,O,,NGY,CONDITIONAL,N,Y,N,Y,S,S,5102012,,100LLA,MAJOR,MAJOR,HIGH,,SEE RMK,SS-SR,N,123.05,123.05,Y,CG,N,,71,22,7,4,,,,,,750,50800,8475,200,4/30/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES,SURV",Y-L
25977.*A,AIRPORT,RIC,9/20/12,AEA,DCA,VA,VIRGINIA,HENRICO,VA,RICHMOND,RICHMOND INTL,PU,PU,CAPITAL REGION ARPT COMM.,1 RICHARD E BYRD TERMINAL DR,"RICHMOND, VA 23250",    804-226-3000,JON MATHIASEN,1 RICHARD E BYRD TERMINAL DR,"RICHMOND, VA 23250",    804-226-3000,37-30-18.6000N,135018.6000N,077-19-10.8000W,278350.8000W,E,167,S,09W,1985,,WASHINGTON,6,E,2500,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,RIC,Y,12/1/31,O,I C S 05/1973,NGHRY,NOT ANALYZED,N,Y,Y,Y,F,F,7102012,9201987,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,,N,CG,Y,,16,16,29,4,,27,,22487,,39361,21341,2902,5663,5/31/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CARGO,CHTR,INSTR",Y-L
25986.*A,AIRPORT,ROA,9/20/12,AEA,DCA,VA,VIRGINIA,ROANOKE,VA,ROANOKE,ROANOKE RGNL/WOODRUM FIELD,PU,PU,ROANOKE REG ARPT CMSN,5202 AVN DR.,"ROANOKE, VA 24012-1148",    540 362-1999,JACQUELINE SHUCK EXEC DIR,5202 AVN DR.,"ROANOKE, VA 24012-1148",    540-362-1999,37-19-31.7000N,134371.7000N,079-58-31.5000W,287911.5000W,E,1175,S,08W,2010,800,CINCINNATI,3,NW,950,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,ROA,Y,5/1/30,O,I B S 05/1973,NGHY3,NOT ANALYZED,N,N,N,Y,F,F,8202010,,100LLA,MAJOR,MAJOR,NONE,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,,CG,N,,98,21,4,,,,,2161,,21334,4680,15411,1244,6/30/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
25783.12*A,AIRPORT,RMN,9/20/12,AEA,DCA,VA,VIRGINIA,STAFFORD,VA,STAFFORD,STAFFORD RGNL,PU,PU,STAFFORD REG'L ARPT AUTHORITY,"75 AVIATION WAY, PO BOX 370","FREDERICKSBURG, VA 22406",    540-658-1212,ED WALLIS,"75 AVIATION WAY, PO BOX 370","FREDERICKSBURG, VA 22406",    540-658-1212,38-23-53.2000N,138233.2000N,077-27-19.7000W,278839.7000W,E,211,S,10W,2000,,WASHINGTON,3,SW,566,ZDC,ZCW,WASHINGTON,,,,,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,RMN,Y,10/1/01,O,,NGY,CONDITIONAL,,,,,S,S,3252010,7102001,100LLA    A+,,,,,SEE RMK,SS-SR,N,122.725,122.725,Y,CG,,,36,3,0,8,,,,,,,5734,14813,1433,3/25/10,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,AMB,Y-L
26028.*A,AIRPORT,SFQ,9/20/12,AEA,DCA,VA,VIRGINIA,SUFFOLK,VA,SUFFOLK,SUFFOLK EXECUTIVE,PU,PU,CITY OF SUFFOLK,PO BOX 1858,"SUFFOLK, VA 23434",    757-514-4000,KENT MARSHALL,1200 GENE BOLTON DRIVE,"SUFFOLK, VA 23434",    757-514-4411,36-40-55.0589N,132055.0589N,076-36-03.8119W,275763.8119W,E,70,S,10W,1995,,WASHINGTON,3,SW,655,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,703-723-4588,1-800-WX-BRIEF,,,,SFQ,Y,10/1/43,O,,NGYP3,NOT ANALYZED,N,N,N,Y,S,S,3172011,,100LLA    MOGAS,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,47,7,3,2,0,,0,,,705,36302,3575,600,12/31/10,FAA-EST,00:00.0,NGS,00:00.0,,TIE,"AGRI,CHTR,INSTR,PAJA,RNTL",Y-L
55030.*A,AIRPORT,STX,9/20/12,ASO,ORL,VI,VIRGIN ISLANDS,-VIRGIN ISLANDS-,VI,CHRISTIANSTED,HENRY E ROHLSEN,PU,PU,VI PORT AUTHORITY,"8074 LINDBERGH BAY, P.O. BOX 301707","ST THOMAS, VI 00803",  (340) 774-1629,MR. DAVID MAPP,"P.O. BOX 1134, CHRISTIANSTED","ST CROIX, VI 00821",    340-778-1012,17-42-05.6010N,063725.6010N,064-48-06.1990W,233286.1990W,E,74,E,13W,2000,,PUERTO RICO-VIRGIN ISLANDS,6,SW,1455,ZSU,ZSU,SAN JUAN,,,,N,SJU,SAN JUAN,,1-800-WX-BRIEF,,,,TISX,Y,9/1/48,O,I C S 05/1973,NGPY,NO OBJECTION,N,Y,N,Y,F,F,3272012,,100LLA1+,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,123,118.6,Y,CG,Y,,11,15,5,1,,4,,962,,10913,2118,1873,245,12/31/11,AVN,00:00.0,AVN,00:00.0,,HGR,AVNCS,Y-L
25385.*A,AIRPORT,BTV,9/20/12,ANE,NONE,VT,VERMONT,CHITTENDEN,VT,BURLINGTON,BURLINGTON INTL,PU,PU,CITY OF BURLINGTON,CITY HALL,"BURLINGTON, VT 05401",    802-865-7272,ROBERT MCEWING,1200 ARPT DR NO 1,"SOUTH BURLINGTON, VT 05403",    802-863-2874,44-28-18.7000N,160098.7000N,073-09-11.8000W,263351.8000W,E,335,S,15W,2005,,MONTREAL,3,E,942,ZBW,ZCB,BOSTON,,,,N,BTV,BURLINGTON,,1-800-WX-BRIEF,,,,BTV,Y,9/1/37,O,I B S 05/1973,NGY3P,CONDITIONAL,Y,N,,,F,F,7162011,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,118.3,N,CG,Y,,50,4,4,1,,28,,11362,,17725,18949,18096,4360,5/31/11,NGS,,,,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL",Y-L
25499.*A,AIRPORT,EFK,9/20/12,ANE,NONE,VT,VERMONT,ORLEANS,VT,NEWPORT,NEWPORT STATE,PU,PU,STATE OF VERMONT,133 STATE ST,"MONTPELIER, VT 05602",    802-828-2833,DAN GAUVIN,AIRPORT ROAD,"NEWPORT, VT 05855",    802-334-5001,44-53-19.6000N,161599.6000N,072-13-45.0000W,260025.0000W,E,930,S,17W,1995,,MONTREAL,3,SW,540,ZBW,ZCB,BOSTON,,,,N,BTV,BURLINGTON,,1-800-WX-BRIEF,,,,BTV,Y,11/1/43,O,,NGY3,NOT ANALYZED,N,Y,N,Y,S,C,8112010,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,20,0,0,0,,,,,,,6844,1720,220,8/11/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","INSTR,RNTL",Y-L
26099.*A,AIRPORT,AWO,9/20/12,ANM,SEA,WA,WASHINGTON,SNOHOMISH,WA,ARLINGTON,ARLINGTON MUNI,PU,PU,CITY OF ARLINGTON,"CITY HALL, 238 N OLYMPIC","ARLINGTON, WA 98223",    360-403-3421,ROBERT PUTNAM,18204 59TH DRIVE NE,"ARLINGTON, WA 98223",    360-403-3470,48-09-38.7000N,173378.7000N,122-09-32.5000W,439772.5000W,E,142,S,17E,2010,1058,SEATTLE,3,SW,1200,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,AWO,Y,8/1/37,O,,NGPY,NOT ANALYZED,N,N,N,Y,S,C,9302010,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,260,12,10,11,45,,60,,,520,76694,56798,20,9/30/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"CHTR,GLD,INSTR,RNTL,SALES,TOW",Y-L
26109.*A,AIRPORT,BLI,9/20/12,ANM,SEA,WA,WASHINGTON,WHATCOM,WA,BELLINGHAM,BELLINGHAM INTL,PU,PU,PORT OF BELLINGHAM,1801 ROEDER AVE,"BELLINGHAM, WA 98227",    360-676-2500,MARK LEUTWILER,4255 MITCHELL WAY STE 206,"BELLINGHAM, WA 98226",    360-671-5674,48-47-33.7000N,175653.7000N,122-32-15.1000W,441135.1000W,E,170,S,20E,1995,1030,SEATTLE,3,NW,2190,ZSE,ZCS,SEATTLE,ZVR,ZVR,VANCOUVER,,SEA,SEATTLE,,1-800-WX-BRIEF,,,,BLI,Y,11/1/38,O,I C S 11/1974,NGPRY3,NOT ANALYZED,Y,N,N,Y,F,F,11092011,,100LLA,NONE,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,124.9,Y,CG,Y,,181,7,5,7,,,,8441,,11451,19630,28427,1311,12/31/12,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AGRI,AMB,AVNCS,CARGO,CHTR,INSTR",Y-L
26120.*A,AIRPORT,PWT,9/20/12,ANM,SEA,WA,WASHINGTON,KITSAP,WA,BREMERTON,BREMERTON NATIONAL,PU,PU,PORT OF BREMERTON,8850 SW STATE HIGHWAY 3,"PORT ORCHARD, WA 98366",    360-674-2381,FRED SALISBURY,8850 SW STATE HIGHWAY 3,"PORT ORCHARD, WA 98366",    360-674-2381,47-29-24.9000N,170964.9000N,122-45-53.3000W,441953.3000W,E,444,S,20E,1985,1000,SEATTLE,7,SW,1729,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,PWT,Y,12/1/38,O,,NGPY3,NOT ANALYZED,N,N,Y,Y,F,C,7292011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.05,123.05,Y,CG,N,,137,10,3,3,2,,1,,,100,65000,42000,900,5/31/07,NGS,00:00.0,NGS,00:00.0,,TIE,"AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
26125.1*A,AIRPORT,BVS,9/20/12,ANM,SEA,WA,WASHINGTON,SKAGIT,WA,BURLINGTON/MOUNT VERNON,SKAGIT RGNL,PU,PU,PORT OF SKAGIT COUNTY,"15400 AIRPORT DR, PO BOX 348","BURLINGTON, WA 98233",    360-757-0011,SARA K. YOUNG,"PO BOX 348, 15400 AIRPORT DR","BURLINGTON, WA 98233",    360-757-0011,48-28-15.2000N,174495.2000N,122-25-15.1000W,440715.1000W,E,144,S,21E,1985,1000,SEATTLE,3,W,1835,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,BVS,Y,12/1/37,O,,NGPY,CONDITIONAL,N,N,N,Y,S,C,6232011,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.075,123.075,Y,CG,N,,103,10,2,4,1,,1,,,2000,23970,35830,100,5/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,CHTR,INSTR,RNTL,SALES",Y-L
26184.*A,AIRPORT,DEW,9/20/12,ANM,SEA,WA,WASHINGTON,SPOKANE,WA,DEER PARK,DEER PARK,PU,PU,CITY OF DEER PARK,316 E. CRAWFORD,"DEER PARK, WA 99006",    509-276-8802,PENNI LOOMIS,1200 NORTH CEDAR AVENUE,"DEER PARK, WA 99006",    509-276-3379,47-58-01.4000N,172681.4000N,117-25-42.9000W,422742.9000W,E,2211,S,16E,2010,,SEATTLE,3,NE,1796,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,DEW,Y,12/1/43,O,,NGY3,NOT ANALYZED,N,N,N,Y,S,C,6282010,9021982,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,72,4,1,1,7,,2,,,0,19065,17475,,6/28/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"INSTR,RNTL",Y-L
26195.*A,AIRPORT,ELN,9/20/12,ANM,SEA,WA,WASHINGTON,KITTITAS,WA,ELLENSBURG,BOWERS FIELD,PU,PU,KITTITAS COUNTY,411 N. RUBY ST. SUITE 1,"ELLENSBURG, WA 98926",    509-962-7523,MS KELLY CARLSON,411 N. RUBY ST. SUITE 1,"ELLENSBURG, WA 98926",    509-962-7523,47-01-58.9000N,169318.9000N,120-31-50.5000W,433910.5000W,E,1764,S,16E,2010,834,SEATTLE,2,N,1032,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,ELN,Y,12/1/38,O,,NGPY3,NOT ANALYZED,N,N,N,Y,S,C,6162012,10041982,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123,123,Y,CG,N,,43,4,0,0,1,,,,,1845,33300,25200,100,5/30/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,CHTR,INSTR,RNTL,SALES",Y-L
26204.*A,AIRPORT,EPH,9/20/12,ANM,SEA,WA,WASHINGTON,GRANT,WA,EPHRATA,EPHRATA MUNI,PU,PU,PORT DIST NO 9 GRANT CO,PORT OF EPHRATA PO BOX 1089,"EPHRATA, WA 98823",    509-754-3508,MICHAEL WREN,PO BOX 1089,"EPHRATA, WA 98823",    509-750-8623,47-18-29.0580N,170309.0580N,119-31-00.8890W,430260.8890W,E,1276,S,16E,2010,,SEATTLE,2,SE,2300,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,EPH,Y,8/1/43,O,,NGPSY3,NO OBJECTION,N,N,N,Y,S,C,6282010,,100LL,MINOR,MINOR,NONE,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,18,5,0,0,50,,,,,,97301,37839,,6/28/10,OWNER,00:00.0,NGS,00:00.0,,"HGR,TIE","GLD,INSTR,TOW",Y-L
26210.*A,AIRPORT,PAE,9/20/12,ANM,SEA,WA,WASHINGTON,SNOHOMISH,WA,EVERETT,SNOHOMISH COUNTY (PAINE FLD),PU,PU,SNOHOMISH COUNTY,3000 ROCKEFELLER AVE.,"EVERETT, WA 98201",    425-388-3411,DAVID T WAGGONER,3220 100TH ST SW,"EVERETT, WA 98204",    425-388-5125,47-54-25.1545N,172465.1545N,122-16-53.6594W,440213.6594W,E,606,S,17E,2010,,SEATTLE,6,SW,1315,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,PAE,Y,11/1/38,O,IV A U 11/1974,NGPY,NOT ANALYZED,N,Y,N,Y,F,F,11102011,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,132.95,N,CG,,,397,36,13,13,1,,,3186,,2511,52044,55015,761,1/1/12,FAA-EST,00:00.0,,,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
26307.*A,AIRPORT,MWH,9/20/12,ANM,SEA,WA,WASHINGTON,GRANT,WA,MOSES LAKE,GRANT CO INTL,PU,PU,PORT OF MOSES LAKE,7810 ANDREWS STREET NE,"MOSES LAKE, WA 98837",    509-762-5363,CRAIG L. BALDWIN,7810 ANDREWS STREET NE,"MOSES LAKE, WA 98837-3204",    509-762-5363,47-12-30.9000N,169950.9000N,119-19-08.9000W,429548.9000W,E,1189,S,18E,1995,,SEATTLE,5,NW,4650,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,MWH,Y,,O,IV A U 12/1974,NGPY,NO OBJECTION,N,N,N,Y,F,F,2092011,,100LLA1+,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,118.25,Y,CG,N,,29,5,3,0,,,,6190,,2366,3193,12161,30560,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,CARGO,CHTR,RNTL",Y-L
26327.*A,AIRPORT,OLM,9/20/12,ANM,SEA,WA,WASHINGTON,THURSTON,WA,OLYMPIA,OLYMPIA RGNL,PU,PU,PORT OF OLYMPIA,915 WASHINGTON STREET,"OLYMPIA, WA 98507-0827",    360-528-8000,RUDY RUDOLPH,7643 OLD HWY 99 SE,"OLYMPIA, WA 98501",    360-528-8074,46-58-09.8560N,169089.8560N,122-54-09.1610W,442449.1610W,E,209,E,19E,1995,,SEATTLE,4,S,1632,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,OLM,Y,12/1/37,O,,NGPY3,NOT ANALYZED,N,Y,N,Y,F,C,9282010,,100  100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH,SEE RMK,SS-SR,Y,122.95,124.4,Y,CG,Y,,104,15,5,19,,,,,,2200,30495,33429,1283,12/31/09,NACO,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,INSTR,RNTL,SALES",Y-L
26345.*A,AIRPORT,PSC,9/20/12,ANM,SEA,WA,WASHINGTON,FRANKLIN,WA,PASCO,TRI-CITIES,PU,PU,PORT OF PASCO,3601 N 20TH AVE,"PASCO, WA 99301",    509-547-6352,RON FORAKER,3601 N 20TH AVE,"PASCO, WA 99301",    509-547-6352,46-15-52.9000N,166552.9000N,119-07-08.5000W,428828.5000W,E,410,S,16E,2010,1000,SEATTLE,2,NW,2235,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,PSC,Y,11/1/37,O,I B S 05/1973,NGPY,NOT ANALYZED,N,N,N,Y,F,F,2152012,,100LLA1+,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,135.3,Y,CG,N,,83,24,12,4,,,,6417,,6676,20144,16454,3974,1/1/12,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
26357.*A,AIRPORT,CLM,9/20/12,ANM,SEA,WA,WASHINGTON,CLALLAM,WA,PORT ANGELES,WILLIAM R FAIRCHILD INTL,PU,PU,PORT OF PORT ANGELES,PO BOX 1350,"PORT ANGELES, WA 98362",    360-457-8527,DOUG SANDAU,PO BOX 1350,"PORT ANGELES, WA 98362",    360-417-3456,48-07-12.7000N,173232.7000N,123-29-58.9000W,444598.9000W,E,291,S,22E,1980,,SEATTLE,3,NW,797,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,CLM,Y,8/1/37,O,,NGPY3,NOT ANALYZED,N,Y,N,Y,F,C,7052012,,100LLA,MAJOR,MAJOR,,,SEE RMK,SS-SR,N,122.975,122.975,Y,CG,N,,78,5,,2,,,,0,,6205,27000,23000,370,6/30/12,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,"AFRT,CARGO,CHTR,INSTR,RNTL",Y-L
26376.5*A,AIRPORT,UIL,9/20/12,ANM,SEA,WA,WASHINGTON,CLALLAM,WA,QUILLAYUTE,QUILLAYUTE,PU,PU,CITY OF FORKS,500 EAST CIVISION ST.,"FORKS, WA 98331",    360-374-5412,ROD FLECK,500 EAST DIVISION ST.,"FORKS, WA 98331",    360-374-5412,47-56-11.7000N,172571.7000N,124-33-45.4810W,448425.4810W,E,194,S,21E,1985,,SEATTLE,1,SW,739,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,UIL,Y,9/1/43,O,,NP,NOT ANALYZED,N,N,N,Y,S,C,7052012,,,NONE,NONE,NONE,NONE,,,N,,122.9,,,N,,0,0,0,0,,,1,,,,3198,3302,200,6/30/12,STATE,00:00.0,NGS,00:00.0,,TIE,,Y
26386.1*A,AIRPORT,RLD,9/20/12,ANM,SEA,WA,WASHINGTON,BENTON,WA,RICHLAND,RICHLAND,PU,PU,PORT OF BENTON,3100 GEORGE WASHINGTON WAY,"RICHLAND, WA 99352",    509-375-3060,JOHN HAAKENSON,3100 GEORGE WASHINGTON WAY,"RICHLAND, WA 99352",    509-375-3060,46-18-20.3000N,166700.3000N,119-18-15.1000W,429495.1000W,E,394,S,17E,2005,800,SEATTLE,2,NW,564,ZSE,ZCS,SEATTLE,,,,N,SEA,SEATTLE,,1-800-WX-BRIEF,,,,RLD,Y,10/1/50,O,,NGPY,NO OBJECTION,N,N,N,Y,S,C,6282010,,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,140,9,3,6,8,,12,,,,17400,11600,,6/28/10,NGS,00:00.0,NGS,00:00.0,,TIE,"INSTR,RNTL",Y-L
